자전거대여소명,자전거대여소구분,소재지도로명주소,소재지지번주소,위도,경도,운영시작시각,운영종료시각,휴무일,요금구분,자전거이용요금,자전거보유대수,거치대수,공기주입기비치여부,공기주입기유형,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명,
군산시 공영자전거 무인대여소,무인대여소,전라북도 군산시 철새로 120,전라북도 군산시 성덕리 427-39,36.018871,126.762631,00:00,24:00,연중무휴,유료,1일 3시간 1천원+초과시 1시간 당 500원,40,40,Y,기계식,N,063-454-3632,군산시 건설과,2018-07-24,4670000,전라북도 군산시,
군산시 공영자전거 무인대여소,무인대여소,전라북도 군산시 장미1길 28-10,전라북도 군산시 장미동 13-2,35.989913,126.713905,00:00,24:00,연중무휴,유료,1일 3시간 1천원+초과시 1시간 당 500원,15,15,Y,기계식,N,063-454-3632,군산시 건설과,2018-07-24,4670000,전라북도 군산시,
군산시 공영자전거 무인대여소,무인대여소,전라북도 군산시 은파순환길 9,전라북도 군산시 나운동 1223-4,35.956002,126.689608,00:00,24:00,연중무휴,유료,1일 3시간 1천원+초과시 1시간 당 500원,45,45,Y,기계식,N,063-454-3632,군산시 건설과,2018-07-24,4670000,전라북도 군산시,
군산시 공영자전거 무인대여소,무인대여소,전라북도 군산시 옥도면 선유도3길 33-4,전라북도 군산시 옥도면 선유도리 474,35.825655,126.416113,00:00,24:00,연중무휴,유료,1일 3시간 1천원+초과시 1시간 당 500원,25,25,N,,N,063-454-3632,군산시 건설과,2018-07-24,4670000,전라북도 군산시,
군산시 공영자전거 무인대여소,무인대여소,전라북도 군산시 선유북길 125-1,전라북도 군산시 옥도면 선유도리 213-3,35.814168,126.410008,00:00,24:00,연중무휴,유료,1일 3시간 1천원+초과시 1시간 당 500원,25,25,N,,N,063-454-3632,군산시 건설과,2018-07-24,4670000,전라북도 군산시,
군산시 공영자전거 무인대여소,무인대여소,전라북도 군산시 해망로 10,전라북도 군산시 경장동 472,35.975935,126.724290,00:00,24:00,연중무휴,유료,1일 3시간 1천원+초과시 1시간 당 500원,30,30,N,,N,063-454-3632,군산시 건설과,2018-07-24,4670000,전라북도 군산시,
군산시 공영자전거 무인대여소,무인대여소,전라북도 군산시 중앙로1가 10-1,전라북도 군산시 중앙로 185,35.987718,126.710479,00:00,24:00,연중무휴,유료,1일 3시간 1천원+초과시 1시간 당 500원,10,10,N,,N,063-454-3632,군산시 건설과,2018-07-24,4670000,전라북도 군산시,
군산시 공영자전거 무인대여소,무인대여소,전라북도 군산시 시청로 17,전라북도 군산시 조촌동 888,35.967535,126.736801,00:00,24:00,연중무휴,유료,1일 3시간 1천원+초과시 1시간 당 500원,10,10,N,,N,063-454-3632,군산시 건설과,2018-07-24,4670000,전라북도 군산시,
군산시 공영자전거 무인대여소,무인대여소,,전라북도 군산시 나운동 191-34,35.952372,126.703342,00:00,24:00,연중무휴,유료,1일 3시간 1천원+초과시 1시간 당 500원,10,10,N,,N,063-454-3632,군산시 건설과,2018-07-24,4670000,전라북도 군산시,
철원군청대여소,유인대여소,강원도 철원군 동송읍 태봉로,강원도 철원군 동송읍 장흥리 1825,38.111312,127.171902,10:00,18:00,연중무휴,무료,무료,17,20,Y,기계식,N,033-450-5352,철원군청,2017-11-29,4300000,강원도 철원군,
